Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Apartamento;Itanhangá;2;1;1;58;900.0;500.0;212.0;3364;15.52;Apartamento
Apartamento;Tijuca;3;1;1;106;2050.0;872.0;1008.0;11236;19.34;Apartamento
Apartamento;Leme;1;0;0;55;2000.0;585.0;79.0;3025;36.36;Apartamento
Casa;Campo Grande;2;1;0;100;1300.0;0.0;0.0;10000;13.0;Casa
Apartamento;Ipanema;3;3;3;310;16000.0;3000.0;1100.0;96100;51.61;Apartamento
Apartamento;Vila Isabel;2;1;1;79;1300.0;950.0;30.0;6241;16.46;Apartamento
Apartamento;Barra da Tijuca;2;1;1;102;2500.0;1478.0;255.0;10404;24.51;Apartamento
Apartamento;Copacabana;3;1;1;160;4000.0;1617.0;300.0;25600;25.0;Apartamento
Quitinete;Copacabana;1;0;0;38;1800.0;500.0;100.0;1444;47.37;Apartamento
Apartamento;Copacabana;1;0;0;30;1200.0;650.0;54.0;900;40.0;Apartamento
Apartamento;Quintino Bocaiúva;2;0;0;80;900.0;170.0;0.0;6400;11.25;Apartamento
Apartamento;Ipanema;3;1;0;80;4000.0;1200.0;251.0;6400;50.0;Apartamento
Apartamento;Leblon;4;2;2;300;28000.0;3480.0;0.0;90000;93.33;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0;5929;25.97;Apartamento
Apartamento;Jardim Botânico;3;2;2;145;4680.0;1296.0;317.0;21025;32.28;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;185;2500.0;1355.0;2917.0;34225;13.51;Apartamento
Apartamento;Barra da Tijuca;1;1;1;68;2800.0;1250.0;219.0;4624;41.18;Apartamento
Apartamento;Jardim Botânico;2;2;1;83;3500.0;1630.0;196.0;6889;42.17;Apartamento
Apartamento;Leblon;3;2;1;180;9500.0;2804.0;950.0;32400;52.78;Apartamento
Apartamento;Copacabana;2;1;1;110;4000.0;1010.0;252.0;12100;36.36;Apartamento
Apartamento;Botafogo;3;0;0;123;3200.0;421.0;182.0;15129;26.02;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;180;1300.0;1635.0;320.0;32400;7.22;Apartamento
Apartamento;Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0;14400;23.33;Apartamento
Apartamento;Leblon;2;3;1;168;9000.0;2124.0;563.0;28224;53.57;Apartamento
Casa de Condomínio;Campo Grande;2;2;0;100;1200.0;40.0;1.0;10000;12.0;Casa
Apartamento;Barra da Tijuca;1;0;0;71;2100.0;1200.0;220.0;5041;29.58;Apartamento
Apartamento;Tijuca;2;1;1;81;2350.0;849.0;80.0;6561;29.01;Apartamento
Apartamento;Jacarepaguá;2;1;1;67;2000.0;636.0;75.0;4489;29.85;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;3;200;3900.0;800.0;310.0;40000;19.5;Apartamento
Apartamento;São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0;8100;21.11;Apartamento
Apartamento;Lagoa;2;1;1;56;3500.0;1490.0;323.0;3136;62.5;Apartamento
Apartamento;Leblon;4;2;1;200;11500.0;3055.0;500.0;40000;57.5;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;680.0;100.0;4225;27.69;Apartamento
Casa;Barra da Tijuca;6;4;6;540;25000.0;2333.0;2900.0;291600;46.3;Casa
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;737.0;142.0;4900;21.43;Apartamento
Apartamento;Tijuca;3;0;0;98;1700.0;390.0;93.0;9604;17.35;Apartamento
Apartamento;Andaraí;2;0;0;66;700.0;900.0;46.0;4356;10.61;Apartamento
Apartamento;Ipanema;3;2;1;200;6300.0;2200.0;400.0;40000;31.5;Apartamento
Apartamento;Pechincha;2;1;0;60;900.0;420.0;15.0;3600;15.0;Apartamento
Apartamento;Vila Valqueire;3;2;1;129;2200.0;755.0;195.0;16641;17.05;Apartamento
Apartamento;Santa Teresa;2;0;0;65;1400.0;600.0;0.0;4225;21.54;Apartamento
Apartamento;Leblon;4;2;2;230;17900.0;5000.0;1000.0;52900;77.83;Apartamento
Apartamento;Gávea;3;1;1;138;7900.0;1900.0;3418.0;19044;57.25;Apartamento
Apartamento;São Conrado;3;2;1;150;6500.0;1800.0;0.0;22500;43.33;Apartamento
Apartamento;Jacarepaguá;4;2;2;155;3000.0;1664.0;309.0;24025;19.35;Apartamento
Apartamento;Ipanema;3;1;0;130;8000.0;2000.0;480.0;16900;61.54;Apartamento
Apartamento;Botafogo;3;1;1;123;4000.0;1188.0;221.0;15129;32.52;Apartamento
Apartamento;Cachambi;2;0;0;50;900.0;313.0;0.0;2500;18.0;Apartamento
Apartamento;Botafogo;1;0;0;38;1300.0;400.0;25.0;1444;34.21;Apartamento
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0;7744;12.5;Apartamento
Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0;2500;18.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0;6400;21.25;Apartamento
Apartamento;Copacabana;1;0;0;36;1700.0;632.0;69.0;1296;47.22;Apartamento
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;0.0;4900;10.71;Apartamento
Quitinete;Copacabana;1;0;0;30;1150.0;450.0;30.0;900;38.33;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0;2401;17.35;Apartamento
Apartamento;Copacabana;1;0;0;37;2200.0;555.0;70.0;1369;59.46;Apartamento
Apartamento;Ipanema;3;1;1;126;6000.0;1667.0;590.0;15876;47.62;Apartamento
Apartamento;Gávea;2;1;0;63;3300.0;650.0;0.0;3969;52.38;Apartamento
Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;0.0;5476;28.38;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0;4900;32.86;Apartamento
Apartamento;Barra da Tijuca;4;3;4;292;16000.0;5000.0;1500.0;85264;54.79;Apartamento
Apartamento;Barra da Tijuca;4;2;1;330;9000.0;3100.0;1085.0;108900;27.27;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0;4225;27.69;Apartamento
Casa;Campo Grande;2;0;0;70;1000.0;0.0;0.0;4900;14.29;Casa
Casa;Barra da Tijuca;4;6;2;232;6500.0;1100.0;800.0;53824;28.02;Casa
Apartamento;Flamengo;3;0;1;110;3800.0;659.0;146.0;12100;34.55;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;342.0;10404;50.0;Apartamento
Apartamento;Glória;1;0;0;28;1500.0;250.0;0.0;784;53.57;Apartamento
Apartamento;Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0;4225;24.62;Apartamento
