to_postcode,to_country_id
04221000,32
04221-000,32
04222-002,32
04225-050,32
04229-000,32
04230-030,96
04230042,32
04236-040,32
04240-210,32
04243-000,32
04244-000,32
04252000,160
04253000,32
04253050,64
04256390,32
04258000,32
04263-000,32
04265-040,96
04267-020,32
04269001,32
04269-040,32
04271000,32
04272-300,32
04273200,32
04275-010,64
04275-070,32
04276-000,64
04276-050,32
04277000,32
04278020,64
04282-000,32
04282-030,32
04284-000,32
04284065,32
04286-100,64
04288-080,32
04288090,32
04288-110,96
04288150,32
04289130,32
04290000,32
04291-070,32
04292060,32
04293-000,32
04296-090,32
04297000,32
04297-000,32
04297-040,32
04301000,32
04301-000,32
04301010,32
04301-900,32
04302000,32
04302010,32
04302-010,192
04304000,64
04304010,32
04304-010,32
04304-111,32
04305000,32
04305-000,32
04310000,96
04310-010,32
04310-030,32
04311-040,32
04311080,96
04313-001,32
04313-002,32
04313-210,64
04314-130,64
04316-070,32
04317000,64
04317-000,32
04318-100,32
04319-000,32
04319-010,64
04319030,64
04319-030,64
04320110,32
04321-001,32
04326-080,32
04330-090,32
04332-100,32
04344050,32
04345000,160
04345-020,32
04346-040,32
04347080,32
04349-010,32
04350020,32
04351030,128
04357-090,32
04358020,32
04362-010,32
04362030,32
04362-050,32
04362-060,32
04363000,32
04363-000,32
04363-001,128
04363040,32
04363-060,96
04363070,96
04363-070,32
04370-020,96
04372-050,32
04372120,32
04376-110,32
04377190,32
04379000,32
04401130,32
04405000,32
04416200,32
04417160,32
04417-270,32
04421-060,32
04429225,32
04431-140,32
04433-050,32
04437-000,32
04444000,96
04444-000,192
04446-180,32
04447011,32
04456080,32
04467130,32
04470-260,32
04470280,64
04475-300,32
04476-480,32
04505001,32
04506003,32
04508011,32
04509-002,32
04510-000,96
04510001,32
04510010,192
04510020,32
04510030,64
04510040,32
04511-001,32
04511060,64
04512001,64
04512-001,32
04512-051,32
04513060,32
04513080,96
04513100,32
04514-000,64
04514-001,32
04514030,32
04514-032,32
04514-041,32
04514100,32
04514-100,32
04515000,32
04515030,96
04515-030,32
04516000,64
04516-001,32
04516010,32
04517001,32
04517-001,128
04517050,64
04517-050,32
04517100,64
